Year,Value,Average Precipitation,Average Temperature
1991,40000,103.2848083333,22.7079
1992,41000,93.8163666667,22.6670583333
1993,43000,88.2490583333,22.556875
1994,45000,107.3231833333,22.4837166667
1995,45000,97.918725,23.3431083333
1996,47000,108.52955,23.0189833333
1997,46000,107.51592,23.4647166667
1998,50000,101.7512333333,23.0920583333
1999,62000,103.2014083333,23.0879833333
2000,60000,93.1353833333,23.5938833333
2001,59000,105.078525,24.1758666667
2002,59400,109.6859083333,24.51845
2003,67000,103.00085,24.4717916667
2004,69000,95.762975,23.8567083333
2005,70000,79.31245,24.0215333333
2006,71000,110.5138083333,23.924775
2007,71000,121.638725,23.8768
2008,9000,98.038325,24.0638666667
2009,11000,97.4872333333,24.7333166667
2010,11649,118.9396166667,24.2372
2011,12360,110.0423833333,23.7862333333
2012,10000,117.666575,23.43125
2013,13000,121.7781333333,23.4988583333
2014,13000,99.9432583333,23.6246416667
